KMeans Cluster,Mean Similarity,Cluster Label,Similarity Tier
16,0.45634145,"marketing, agency, marketing agency, issue, digital, campaign",High
15,0.54896295,"brand, digital, growth, brand growth, digital strategy, strategy",High
11,0.5145457,"security, medical, datum, protocol, medical datum, security protocol",High
23,0.08243596,"integration, analytic, team, support, provide, investment",Low
34,0.52376384,"charge, billing, invoice, account, statement, subscription",High
27,0.44227377,"investment, processing, analytic platform, platform, data, analytic",High
2,0.33022708,"investment, analytic, data analytic, data, tool, investment strategy",Low
19,0.43945056,"digital tool, digital, tool, digital tools, issue, agency",High
5,0.35069498,"security, breach, security breach, incident, medical, hospital",Low
33,0.44479743,"campaign, digital campaign, digital, agency, marketing, issue",High
20,0.43537745,"crash, issue, software, application, software crash, problem",High
5,0.4429174,"security, breach, security breach, incident, medical, hospital",High
20,0.41224644,"crash, issue, software, application, software crash, problem",Low
12,0.40527502,"integration, integrate, documentation, step, saas, process",Low
11,0.36732683,"security, medical, datum, protocol, medical datum, security protocol",Low
36,0.43717006,"billing, discrepancy, payment, billing discrepancy, issue, account",High
30,0.43742353,"project, project management, management, feature, scalability, integration",High
15,0.56541175,"brand, digital, growth, brand growth, digital strategy, strategy",High
42,0.50363535,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
21,0.41511783,"access, medical, healthcare, security, issue, data access",Low
15,0.54287165,"brand, digital, growth, brand growth, digital strategy, strategy",High
8,0.4442964,"digital strategy, digital, strategy, brand, growth, brand growth",High
32,0.40528864,"project, project management, management, issue, saas, management saas",Low
39,0.51996785,"connectivity, network, device, issue, problem, connectivity issue",High
23,0.20951344,"integration, analytic, team, support, provide, investment",Low
22,0.30765602,"issue, software, update, problem, integration, resolve",Low
3,0.5748131,"medical, security, datum, medical datum, encryption, control",High
14,0.42626545,"server, dashboard, issue, load, project dashboard, peak",High
9,0.4373453,"investment, analysis, issue, discrepancy, data, datum",High
5,0.35117438,"security, breach, security breach, incident, medical, hospital",Low
11,0.3853466,"security, medical, datum, protocol, medical datum, security protocol",Low
33,0.44480965,"campaign, digital campaign, digital, agency, marketing, issue",High
9,0.2882435,"investment, analysis, issue, discrepancy, data, datum",Low
5,0.38863838,"security, breach, security breach, incident, medical, hospital",Low
4,0.5143055,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
12,0.32437217,"integration, integrate, documentation, step, saas, process",Low
18,0.41994697,"data analytic, analytic, data, issue, analytic tool, tool",Low
5,0.48915055,"security, breach, security breach, incident, medical, hospital",High
5,0.37259862,"security, breach, security breach, incident, medical, hospital",Low
37,0.4363409,"access, unauthorized, unauthorized access, security, access attempt, medical",High
5,0.48638684,"security, breach, security breach, incident, medical, hospital",High
17,0.39156187,"medical, secure, secure medical, medical datum, datum, hospital",Low
25,0.6353781,"marketing, digital, social medium, social, medium, strategy",High
25,0.36804736,"marketing, digital, social medium, social, medium, strategy",Low
27,0.39151576,"investment, processing, analytic platform, platform, data, analytic",Low
37,0.46323615,"access, unauthorized, unauthorized access, security, access attempt, medical",High
22,0.3279106,"issue, software, update, problem, integration, resolve",Low
5,0.48816252,"security, breach, security breach, incident, medical, hospital",High
1,0.39228404,"request, integration, project, user, project management, management",Low
11,0.34833977,"security, medical, datum, protocol, medical datum, security protocol",Low
2,0.41353536,"investment, analytic, data analytic, data, tool, investment strategy",Low
8,0.44801134,"digital strategy, digital, strategy, brand, growth, brand growth",High
31,0.54954284,"security, healthcare, compliance, security solution, datum, solution",High
4,0.45792893,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
14,0.32861024,"server, dashboard, issue, load, project dashboard, peak",Low
14,0.43738198,"server, dashboard, issue, load, project dashboard, peak",High
8,0.521811,"digital strategy, digital, strategy, brand, growth, brand growth",High
12,0.3146918,"integration, integrate, documentation, step, saas, process",Low
23,0.18488088,"integration, analytic, team, support, provide, investment",Low
21,0.4006141,"access, medical, healthcare, security, issue, data access",Low
4,0.5762338,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
4,0.3114395,"marketing, digital marketing, digital, brand, strategy, marketing strategy",Low
34,0.5163177,"charge, billing, invoice, account, statement, subscription",High
20,0.4863462,"crash, issue, software, application, software crash, problem",High
21,0.27524284,"access, medical, healthcare, security, issue, data access",Low
22,0.2600351,"issue, software, update, problem, integration, resolve",Low
22,0.3515218,"issue, software, update, problem, integration, resolve",Low
11,0.4565108,"security, medical, datum, protocol, medical datum, security protocol",High
33,0.5166797,"campaign, digital campaign, digital, agency, marketing, issue",High
16,0.4449032,"marketing, agency, marketing agency, issue, digital, campaign",High
25,0.6253925,"marketing, digital, social medium, social, medium, strategy",High
39,0.3184085,"connectivity, network, device, issue, problem, connectivity issue",Low
2,0.46568894,"investment, analytic, data analytic, data, tool, investment strategy",High
42,0.5125878,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
22,0.13802144,"issue, software, update, problem, integration, resolve",Low
21,0.3088886,"access, medical, healthcare, security, issue, data access",Low
14,0.3249663,"server, dashboard, issue, load, project dashboard, peak",Low
13,0.52410585,"engagement, metric, engagement metric, decline, brand engagement, algorithm",High
21,0.431783,"access, medical, healthcare, security, issue, data access",High
19,0.5531628,"digital tool, digital, tool, digital tools, issue, agency",High
5,0.464302,"security, breach, security breach, incident, medical, hospital",High
41,0.7183506,"sap, erp, sap erp, integration, central component, erp central",High
14,0.2818875,"server, dashboard, issue, load, project dashboard, peak",Low
30,0.48945683,"project, project management, management, feature, scalability, integration",High
33,0.45291242,"campaign, digital campaign, digital, agency, marketing, issue",High
40,0.59320605,"campaign, marketing campaign, marketing, target, engagement, digital",High
16,0.3842834,"marketing, agency, marketing agency, issue, digital, campaign",Low
36,0.3710193,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
18,0.33015108,"data analytic, analytic, data, issue, analytic tool, tool",Low
5,0.4938268,"security, breach, security breach, incident, medical, hospital",High
21,0.362841,"access, medical, healthcare, security, issue, data access",Low
5,0.514499,"security, breach, security breach, incident, medical, hospital",High
43,0.34457383,"outage, service, service outage, issue, disruption, impact",Low
23,0.21190684,"integration, analytic, team, support, provide, investment",Low
22,0.3540873,"issue, software, update, problem, integration, resolve",Low
11,0.5051506,"security, medical, datum, protocol, medical datum, security protocol",High
23,0.30080798,"integration, analytic, team, support, provide, investment",Low
16,0.37492362,"marketing, agency, marketing agency, issue, digital, campaign",Low
21,0.22357596,"access, medical, healthcare, security, issue, data access",Low
16,0.4491093,"marketing, agency, marketing agency, issue, digital, campaign",High
27,0.42830962,"investment, processing, analytic platform, platform, data, analytic",High
23,0.10401767,"integration, analytic, team, support, provide, investment",Low
38,0.42576852,"saas project, project management, project, saas, management, scalable",High
29,0.36113888,"billing, payment, plan, option, pricing, discount",Low
1,0.44883594,"request, integration, project, user, project management, management",High
18,0.4074915,"data analytic, analytic, data, issue, analytic tool, tool",Low
38,0.60325515,"saas project, project management, project, saas, management, scalable",High
3,0.6283195,"medical, security, datum, medical datum, encryption, control",High
27,0.40181577,"investment, processing, analytic platform, platform, data, analytic",Low
11,0.42422655,"security, medical, datum, protocol, medical datum, security protocol",Low
2,0.43344715,"investment, analytic, data analytic, data, tool, investment strategy",High
5,0.41397855,"security, breach, security breach, incident, medical, hospital",Low
28,0.44888324,"oracle, oracle database, database, integration, medical, secure",High
30,0.49165213,"project, project management, management, feature, scalability, integration",High
37,0.5639715,"access, unauthorized, unauthorized access, security, access attempt, medical",High
5,0.40858477,"security, breach, security breach, incident, medical, hospital",Low
15,0.51250064,"brand, digital, growth, brand growth, digital strategy, strategy",High
39,0.32248276,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.3455727,"issue, software, update, problem, integration, resolve",Low
6,0.43494248,"saas platform, saas, platform, issue, server, performance",High
3,0.54668003,"medical, security, datum, medical datum, encryption, control",High
11,0.5244394,"security, medical, datum, protocol, medical datum, security protocol",High
12,0.34929478,"integration, integrate, documentation, step, saas, process",Low
2,0.47625247,"investment, analytic, data analytic, data, tool, investment strategy",High
31,0.44548512,"security, healthcare, compliance, security solution, datum, solution",High
36,0.41971114,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
12,0.2558146,"integration, integrate, documentation, step, saas, process",Low
39,0.39363655,"connectivity, network, device, issue, problem, connectivity issue",Low
15,0.4446099,"brand, digital, growth, brand growth, digital strategy, strategy",High
23,0.25196815,"integration, analytic, team, support, provide, investment",Low
21,0.38555613,"access, medical, healthcare, security, issue, data access",Low
20,0.33504894,"crash, issue, software, application, software crash, problem",Low
3,0.3807574,"medical, security, datum, medical datum, encryption, control",Low
14,0.3424258,"server, dashboard, issue, load, project dashboard, peak",Low
28,0.7441484,"oracle, oracle database, database, integration, medical, secure",High
42,0.48656756,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
16,0.302013,"marketing, agency, marketing agency, issue, digital, campaign",Low
26,0.44587365,"website, traffic, website traffic, seo, agency website, issue",High
27,0.43551657,"investment, processing, analytic platform, platform, data, analytic",High
23,0.28903797,"integration, analytic, team, support, provide, investment",Low
6,0.336772,"saas platform, saas, platform, issue, server, performance",Low
36,0.30877352,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
12,0.2558825,"integration, integrate, documentation, step, saas, process",Low
11,0.46378982,"security, medical, datum, protocol, medical datum, security protocol",High
3,0.5813783,"medical, security, datum, medical datum, encryption, control",High
27,0.3820324,"investment, processing, analytic platform, platform, data, analytic",Low
34,0.4639478,"charge, billing, invoice, account, statement, subscription",High
37,0.4201532,"access, unauthorized, unauthorized access, security, access attempt, medical",Low
5,0.5293806,"security, breach, security breach, incident, medical, hospital",High
4,0.45767945,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
22,0.17691512,"issue, software, update, problem, integration, resolve",Low
33,0.5597902,"campaign, digital campaign, digital, agency, marketing, issue",High
3,0.41479254,"medical, security, datum, medical datum, encryption, control",Low
27,0.36480588,"investment, processing, analytic platform, platform, data, analytic",Low
27,0.44141212,"investment, processing, analytic platform, platform, data, analytic",High
14,0.29945356,"server, dashboard, issue, load, project dashboard, peak",Low
4,0.3364776,"marketing, digital marketing, digital, brand, strategy, marketing strategy",Low
8,0.48928767,"digital strategy, digital, strategy, brand, growth, brand growth",High
17,0.39941996,"medical, secure, secure medical, medical datum, datum, hospital",Low
28,0.60698223,"oracle, oracle database, database, integration, medical, secure",High
27,0.51065165,"investment, processing, analytic platform, platform, data, analytic",High
11,0.6111984,"security, medical, datum, protocol, medical datum, security protocol",High
11,0.36420423,"security, medical, datum, protocol, medical datum, security protocol",Low
25,0.6849095,"marketing, digital, social medium, social, medium, strategy",High
1,0.3470199,"request, integration, project, user, project management, management",Low
29,0.45720157,"billing, payment, plan, option, pricing, discount",High
27,0.53569835,"investment, processing, analytic platform, platform, data, analytic",High
38,0.548808,"saas project, project management, project, saas, management, scalable",High
22,0.23548804,"issue, software, update, problem, integration, resolve",Low
43,0.37570912,"outage, service, service outage, issue, disruption, impact",Low
22,0.32065108,"issue, software, update, problem, integration, resolve",Low
32,0.41830647,"project, project management, management, issue, saas, management saas",Low
27,0.35284975,"investment, processing, analytic platform, platform, data, analytic",Low
11,0.4050773,"security, medical, datum, protocol, medical datum, security protocol",Low
22,0.26016596,"issue, software, update, problem, integration, resolve",Low
6,0.4152318,"saas platform, saas, platform, issue, server, performance",Low
2,0.3139929,"investment, analytic, data analytic, data, tool, investment strategy",Low
22,0.1961038,"issue, software, update, problem, integration, resolve",Low
18,0.47500366,"data analytic, analytic, data, issue, analytic tool, tool",High
10,0.4878837,"breach, data breach, data, security, medical, hospital",High
1,0.2293736,"request, integration, project, user, project management, management",Low
6,0.36898437,"saas platform, saas, platform, issue, server, performance",Low
27,0.4563815,"investment, processing, analytic platform, platform, data, analytic",High
9,0.36112964,"investment, analysis, issue, discrepancy, data, datum",Low
18,0.39355657,"data analytic, analytic, data, issue, analytic tool, tool",Low
37,0.43980762,"access, unauthorized, unauthorized access, security, access attempt, medical",High
5,0.5152568,"security, breach, security breach, incident, medical, hospital",High
31,0.49361154,"security, healthcare, compliance, security solution, datum, solution",High
21,0.3093348,"access, medical, healthcare, security, issue, data access",Low
11,0.37395263,"security, medical, datum, protocol, medical datum, security protocol",Low
32,0.4336103,"project, project management, management, issue, saas, management saas",High
14,0.489444,"server, dashboard, issue, load, project dashboard, peak",High
23,0.2221608,"integration, analytic, team, support, provide, investment",Low
29,0.6675351,"billing, payment, plan, option, pricing, discount",High
40,0.46124148,"campaign, marketing campaign, marketing, target, engagement, digital",High
5,0.34826776,"security, breach, security breach, incident, medical, hospital",Low
19,0.4700541,"digital tool, digital, tool, digital tools, issue, agency",High
11,0.32842663,"security, medical, datum, protocol, medical datum, security protocol",Low
33,0.4487734,"campaign, digital campaign, digital, agency, marketing, issue",High
5,0.4631247,"security, breach, security breach, incident, medical, hospital",High
22,0.36928642,"issue, software, update, problem, integration, resolve",Low
2,0.43571162,"investment, analytic, data analytic, data, tool, investment strategy",High
27,0.29089418,"investment, processing, analytic platform, platform, data, analytic",Low
2,0.3623642,"investment, analytic, data analytic, data, tool, investment strategy",Low
3,0.5730769,"medical, security, datum, medical datum, encryption, control",High
6,0.43453082,"saas platform, saas, platform, issue, server, performance",High
5,0.43057594,"security, breach, security breach, incident, medical, hospital",High
21,0.25525013,"access, medical, healthcare, security, issue, data access",Low
16,0.40408176,"marketing, agency, marketing agency, issue, digital, campaign",Low
10,0.43089363,"breach, data breach, data, security, medical, hospital",High
10,0.5681352,"breach, data breach, data, security, medical, hospital",High
33,0.6284527,"campaign, digital campaign, digital, agency, marketing, issue",High
42,0.40608758,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
41,0.7096966,"sap, erp, sap erp, integration, central component, erp central",High
4,0.55939496,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
40,0.44810537,"campaign, marketing campaign, marketing, target, engagement, digital",High
16,0.33533826,"marketing, agency, marketing agency, issue, digital, campaign",Low
18,0.42091247,"data analytic, analytic, data, issue, analytic tool, tool",Low
23,0.16729774,"integration, analytic, team, support, provide, investment",Low
12,0.27742782,"integration, integrate, documentation, step, saas, process",Low
21,0.375484,"access, medical, healthcare, security, issue, data access",Low
3,0.5966565,"medical, security, datum, medical datum, encryption, control",High
17,0.5939728,"medical, secure, secure medical, medical datum, datum, hospital",High
18,0.47232014,"data analytic, analytic, data, issue, analytic tool, tool",High
12,0.25870764,"integration, integrate, documentation, step, saas, process",Low
33,0.42383847,"campaign, digital campaign, digital, agency, marketing, issue",Low
32,0.4133657,"project, project management, management, issue, saas, management saas",Low
6,0.4038419,"saas platform, saas, platform, issue, server, performance",Low
0,0.5236953,"investment, investment optimization, optimization, issue, model, algorithm",High
9,0.3120223,"investment, analysis, issue, discrepancy, data, datum",Low
4,0.34402058,"marketing, digital marketing, digital, brand, strategy, marketing strategy",Low
16,0.32887053,"marketing, agency, marketing agency, issue, digital, campaign",Low
27,0.43091896,"investment, processing, analytic platform, platform, data, analytic",High
43,0.3402933,"outage, service, service outage, issue, disruption, impact",Low
40,0.55620766,"campaign, marketing campaign, marketing, target, engagement, digital",High
20,0.459032,"crash, issue, software, application, software crash, problem",High
12,0.3544996,"integration, integrate, documentation, step, saas, process",Low
5,0.49816248,"security, breach, security breach, incident, medical, hospital",High
21,0.32528734,"access, medical, healthcare, security, issue, data access",Low
27,0.3188618,"investment, processing, analytic platform, platform, data, analytic",Low
23,0.19713731,"integration, analytic, team, support, provide, investment",Low
5,0.41824833,"security, breach, security breach, incident, medical, hospital",Low
10,0.46939808,"breach, data breach, data, security, medical, hospital",High
39,0.46616632,"connectivity, network, device, issue, problem, connectivity issue",High
43,0.44695607,"outage, service, service outage, issue, disruption, impact",High
15,0.36959168,"brand, digital, growth, brand growth, digital strategy, strategy",Low
15,0.47553778,"brand, digital, growth, brand growth, digital strategy, strategy",High
23,0.18486357,"integration, analytic, team, support, provide, investment",Low
12,0.42444053,"integration, integrate, documentation, step, saas, process",Low
25,0.5884632,"marketing, digital, social medium, social, medium, strategy",High
17,0.35083312,"medical, secure, secure medical, medical datum, datum, hospital",Low
0,0.38243037,"investment, investment optimization, optimization, issue, model, algorithm",Low
27,0.42165405,"investment, processing, analytic platform, platform, data, analytic",Low
12,0.43750697,"integration, integrate, documentation, step, saas, process",High
12,0.37571335,"integration, integrate, documentation, step, saas, process",Low
27,0.41241705,"investment, processing, analytic platform, platform, data, analytic",Low
5,0.46796677,"security, breach, security breach, incident, medical, hospital",High
29,0.44820172,"billing, payment, plan, option, pricing, discount",High
19,0.42529958,"digital tool, digital, tool, digital tools, issue, agency",Low
11,0.45719695,"security, medical, datum, protocol, medical datum, security protocol",High
21,0.3504085,"access, medical, healthcare, security, issue, data access",Low
21,0.44754773,"access, medical, healthcare, security, issue, data access",High
20,0.46217594,"crash, issue, software, application, software crash, problem",High
12,0.25710574,"integration, integrate, documentation, step, saas, process",Low
33,0.39725903,"campaign, digital campaign, digital, agency, marketing, issue",Low
2,0.50352454,"investment, analytic, data analytic, data, tool, investment strategy",High
12,0.35537684,"integration, integrate, documentation, step, saas, process",Low
2,0.5533073,"investment, analytic, data analytic, data, tool, investment strategy",High
39,0.4056889,"connectivity, network, device, issue, problem, connectivity issue",Low
37,0.47529685,"access, unauthorized, unauthorized access, security, access attempt, medical",High
6,0.28807577,"saas platform, saas, platform, issue, server, performance",Low
16,0.4486715,"marketing, agency, marketing agency, issue, digital, campaign",High
5,0.5239156,"security, breach, security breach, incident, medical, hospital",High
27,0.3573175,"investment, processing, analytic platform, platform, data, analytic",Low
27,0.3975757,"investment, processing, analytic platform, platform, data, analytic",Low
42,0.5324605,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
20,0.3743534,"crash, issue, software, application, software crash, problem",Low
22,0.3656436,"issue, software, update, problem, integration, resolve",Low
25,0.3825015,"marketing, digital, social medium, social, medium, strategy",Low
16,0.42222357,"marketing, agency, marketing agency, issue, digital, campaign",Low
37,0.46650675,"access, unauthorized, unauthorized access, security, access attempt, medical",High
2,0.34865478,"investment, analytic, data analytic, data, tool, investment strategy",Low
28,0.51140577,"oracle, oracle database, database, integration, medical, secure",High
21,0.37436706,"access, medical, healthcare, security, issue, data access",Low
3,0.5717129,"medical, security, datum, medical datum, encryption, control",High
12,0.3901692,"integration, integrate, documentation, step, saas, process",Low
4,0.45676476,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
2,0.35785183,"investment, analytic, data analytic, data, tool, investment strategy",Low
11,0.43602163,"security, medical, datum, protocol, medical datum, security protocol",High
33,0.46730956,"campaign, digital campaign, digital, agency, marketing, issue",High
9,0.2477873,"investment, analysis, issue, discrepancy, data, datum",Low
17,0.5003829,"medical, secure, secure medical, medical datum, datum, hospital",High
14,0.397261,"server, dashboard, issue, load, project dashboard, peak",Low
8,0.5694784,"digital strategy, digital, strategy, brand, growth, brand growth",High
3,0.43799144,"medical, security, datum, medical datum, encryption, control",High
2,0.42117852,"investment, analytic, data analytic, data, tool, investment strategy",Low
2,0.4500365,"investment, analytic, data analytic, data, tool, investment strategy",High
16,0.5316555,"marketing, agency, marketing agency, issue, digital, campaign",High
27,0.36816072,"investment, processing, analytic platform, platform, data, analytic",Low
9,0.38911748,"investment, analysis, issue, discrepancy, data, datum",Low
36,0.46327937,"billing, discrepancy, payment, billing discrepancy, issue, account",High
41,0.53545916,"sap, erp, sap erp, integration, central component, erp central",High
16,0.35676825,"marketing, agency, marketing agency, issue, digital, campaign",Low
42,0.32757708,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
23,0.20548455,"integration, analytic, team, support, provide, investment",Low
14,0.25615588,"server, dashboard, issue, load, project dashboard, peak",Low
10,0.37620607,"breach, data breach, data, security, medical, hospital",Low
31,0.48831466,"security, healthcare, compliance, security solution, datum, solution",High
36,0.44593173,"billing, discrepancy, payment, billing discrepancy, issue, account",High
12,0.32162297,"integration, integrate, documentation, step, saas, process",Low
33,0.4019315,"campaign, digital campaign, digital, agency, marketing, issue",Low
30,0.2879304,"project, project management, management, feature, scalability, integration",Low
19,0.4962682,"digital tool, digital, tool, digital tools, issue, agency",High
33,0.40390125,"campaign, digital campaign, digital, agency, marketing, issue",Low
23,0.17458875,"integration, analytic, team, support, provide, investment",Low
20,0.301164,"crash, issue, software, application, software crash, problem",Low
27,0.4131112,"investment, processing, analytic platform, platform, data, analytic",Low
4,0.5006151,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
6,0.34452757,"saas platform, saas, platform, issue, server, performance",Low
21,0.40469483,"access, medical, healthcare, security, issue, data access",Low
10,0.38571453,"breach, data breach, data, security, medical, hospital",Low
22,0.24875295,"issue, software, update, problem, integration, resolve",Low
31,0.57984287,"security, healthcare, compliance, security solution, datum, solution",High
15,0.56507415,"brand, digital, growth, brand growth, digital strategy, strategy",High
12,0.35837927,"integration, integrate, documentation, step, saas, process",Low
23,0.31425858,"integration, analytic, team, support, provide, investment",Low
18,0.43849507,"data analytic, analytic, data, issue, analytic tool, tool",High
6,0.44702196,"saas platform, saas, platform, issue, server, performance",High
10,0.53425336,"breach, data breach, data, security, medical, hospital",High
4,0.29423648,"marketing, digital marketing, digital, brand, strategy, marketing strategy",Low
31,0.5207213,"security, healthcare, compliance, security solution, datum, solution",High
9,0.37369314,"investment, analysis, issue, discrepancy, data, datum",Low
14,0.48148465,"server, dashboard, issue, load, project dashboard, peak",High
27,0.39006877,"investment, processing, analytic platform, platform, data, analytic",Low
34,0.62164074,"charge, billing, invoice, account, statement, subscription",High
14,0.35538512,"server, dashboard, issue, load, project dashboard, peak",Low
43,0.57977664,"outage, service, service outage, issue, disruption, impact",High
9,0.3764467,"investment, analysis, issue, discrepancy, data, datum",Low
19,0.4510182,"digital tool, digital, tool, digital tools, issue, agency",High
3,0.4501448,"medical, security, datum, medical datum, encryption, control",High
12,0.33456922,"integration, integrate, documentation, step, saas, process",Low
5,0.5101027,"security, breach, security breach, incident, medical, hospital",High
21,0.17719594,"access, medical, healthcare, security, issue, data access",Low
29,0.38635194,"billing, payment, plan, option, pricing, discount",Low
2,0.40168253,"investment, analytic, data analytic, data, tool, investment strategy",Low
33,0.35288414,"campaign, digital campaign, digital, agency, marketing, issue",Low
27,0.26457152,"investment, processing, analytic platform, platform, data, analytic",Low
14,0.4236516,"server, dashboard, issue, load, project dashboard, peak",Low
16,0.37692848,"marketing, agency, marketing agency, issue, digital, campaign",Low
36,0.38690814,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
38,0.583827,"saas project, project management, project, saas, management, scalable",High
20,0.40904906,"crash, issue, software, application, software crash, problem",Low
30,0.40049365,"project, project management, management, feature, scalability, integration",Low
38,0.5162824,"saas project, project management, project, saas, management, scalable",High
39,0.44981074,"connectivity, network, device, issue, problem, connectivity issue",High
12,0.38754144,"integration, integrate, documentation, step, saas, process",Low
29,0.48544022,"billing, payment, plan, option, pricing, discount",High
42,0.4986945,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
26,0.40771928,"website, traffic, website traffic, seo, agency website, issue",Low
42,0.4612934,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
0,0.4395657,"investment, investment optimization, optimization, issue, model, algorithm",High
5,0.48862836,"security, breach, security breach, incident, medical, hospital",High
42,0.43118632,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
36,0.42413935,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
27,0.29594395,"investment, processing, analytic platform, platform, data, analytic",Low
38,0.45008835,"saas project, project management, project, saas, management, scalable",High
33,0.42517918,"campaign, digital campaign, digital, agency, marketing, issue",Low
2,0.59011465,"investment, analytic, data analytic, data, tool, investment strategy",High
32,0.43763444,"project, project management, management, issue, saas, management saas",High
8,0.33121637,"digital strategy, digital, strategy, brand, growth, brand growth",Low
29,0.48739168,"billing, payment, plan, option, pricing, discount",High
39,0.41870475,"connectivity, network, device, issue, problem, connectivity issue",Low
30,0.57884276,"project, project management, management, feature, scalability, integration",High
24,0.45613557,"login, server, login issue, user, login difficulty, issue",High
25,0.5385537,"marketing, digital, social medium, social, medium, strategy",High
6,0.4265343,"saas platform, saas, platform, issue, server, performance",High
11,0.4711387,"security, medical, datum, protocol, medical datum, security protocol",High
21,0.37772873,"access, medical, healthcare, security, issue, data access",Low
43,0.30622858,"outage, service, service outage, issue, disruption, impact",Low
27,0.4518278,"investment, processing, analytic platform, platform, data, analytic",High
36,0.38075447,"billing, discrepancy, payment, billing discrepancy, issue, account",Low
16,0.34951177,"marketing, agency, marketing agency, issue, digital, campaign",Low
23,0.2542704,"integration, analytic, team, support, provide, investment",Low
33,0.5043062,"campaign, digital campaign, digital, agency, marketing, issue",High
43,0.3918069,"outage, service, service outage, issue, disruption, impact",Low
14,0.39906177,"server, dashboard, issue, load, project dashboard, peak",Low
37,0.44949195,"access, unauthorized, unauthorized access, security, access attempt, medical",High
39,0.36805233,"connectivity, network, device, issue, problem, connectivity issue",Low
22,0.23260434,"issue, software, update, problem, integration, resolve",Low
12,0.34046832,"integration, integrate, documentation, step, saas, process",Low
27,0.44137296,"investment, processing, analytic platform, platform, data, analytic",High
26,0.43440184,"website, traffic, website traffic, seo, agency website, issue",High
0,0.36538783,"investment, investment optimization, optimization, issue, model, algorithm",Low
30,0.43546653,"project, project management, management, feature, scalability, integration",High
43,0.39660728,"outage, service, service outage, issue, disruption, impact",Low
31,0.36052704,"security, healthcare, compliance, security solution, datum, solution",Low
21,0.42589414,"access, medical, healthcare, security, issue, data access",High
6,0.4500917,"saas platform, saas, platform, issue, server, performance",High
8,0.466356,"digital strategy, digital, strategy, brand, growth, brand growth",High
41,0.64602345,"sap, erp, sap erp, integration, central component, erp central",High
5,0.49056372,"security, breach, security breach, incident, medical, hospital",High
29,0.4743842,"billing, payment, plan, option, pricing, discount",High
12,0.2945507,"integration, integrate, documentation, step, saas, process",Low
5,0.39773697,"security, breach, security breach, incident, medical, hospital",Low
21,0.43402794,"access, medical, healthcare, security, issue, data access",High
6,0.40964672,"saas platform, saas, platform, issue, server, performance",Low
41,0.540482,"sap, erp, sap erp, integration, central component, erp central",High
42,0.406374,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
21,0.33734268,"access, medical, healthcare, security, issue, data access",Low
42,0.4370269,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",High
33,0.41718632,"campaign, digital campaign, digital, agency, marketing, issue",Low
29,0.535687,"billing, payment, plan, option, pricing, discount",High
22,0.35501853,"issue, software, update, problem, integration, resolve",Low
16,0.43569648,"marketing, agency, marketing agency, issue, digital, campaign",High
18,0.38772297,"data analytic, analytic, data, issue, analytic tool, tool",Low
4,0.46695322,"marketing, digital marketing, digital, brand, strategy, marketing strategy",High
23,0.17047873,"integration, analytic, team, support, provide, investment",Low
6,0.41111693,"saas platform, saas, platform, issue, server, performance",Low
15,0.59482753,"brand, digital, growth, brand growth, digital strategy, strategy",High
6,0.46846095,"saas platform, saas, platform, issue, server, performance",High
43,0.39291072,"outage, service, service outage, issue, disruption, impact",Low
23,0.31235132,"integration, analytic, team, support, provide, investment",Low
27,0.3254704,"investment, processing, analytic platform, platform, data, analytic",Low
0,0.40185696,"investment, investment optimization, optimization, issue, model, algorithm",Low
21,0.26387858,"access, medical, healthcare, security, issue, data access",Low
1,0.33375803,"request, integration, project, user, project management, management",Low
8,0.36463192,"digital strategy, digital, strategy, brand, growth, brand growth",Low
38,0.62175363,"saas project, project management, project, saas, management, scalable",High
4,0.29117894,"marketing, digital marketing, digital, brand, strategy, marketing strategy",Low
7,0.42364818,"billing, update billing, payment, billing information, update, request update",Low
42,0.3515733,"synchronization, data synchronization, issue, problem, synchronization issue, resolve",Low
26,0.45425913,"website, traffic, website traffic, seo, agency website, issue",High
23,0.24477994,"integration, analytic, team, support, provide, investment",Low
20,0.2973499,"crash, issue, software, application, software crash, problem",Low
